kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik

"['Fantasy', 'Fantasy Books', 'Classic Books for Children', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Funny Books for Kids', 'Short Stories for Kids']",Mr Bliss,3.81,2220,J. R. R. Tolkien,"17,743",12-17,192,May,2014,HarperCollins Publishers,United Kingdom,English

"['Psychology', 'Health Psychology', 'Children's Reference Books', 'Society & Social Issues', 'Bullying & Abuse', 'Self-Esteem']",Body Image Workbook for Teens : Activities to Help Girls Develop a Healthy Body Image in an Image-Obsessed World,4.11,47,Julia V. Taylor,"37,703",12-17,184,Jan,2015,New Harbinger Publications,United States,English

[],Penguin Pocket Sudoku,5,1,David J. Bodycombe,"48,819",18+,224,Jul,2008,Penguin Books Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Funny Books for Kids', 'School Stories', 'Graphic Novels', 'Cartoons']",Big Nate: Here Goes Nothing,4.42,2294,Lincoln Peirce,"30,198",9-12,224,Sep,2012,HarperCollins Publishers Inc,,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Drama', 'People & Places']",Just One Day,3.99,83493,Gayle Forman,"48,522",12-17,416,Aug,2013,Penguin Putnam Inc,United States,English

['Historical'],The Girl in the Blue Coat,4.04,33980,Monica Hesse,"48,375",12-17,336,Jul,2016,Pan Macmillan,United Kingdom,English

"['Abnormal Psychology', 'Non-Fiction', 'Schools & Museums', 'Disability', 'Self-Esteem']",The ADHD Workbook for Teens : Activities to Help You Gain Motivation and Confidence,3.95,73,Lara Honos-webb,"11,607",12-17,144,Jan,2011,New Harbinger Publications,United States,English

"['Contemporary Fiction', 'Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers']",This Is What Happy Looks Like,3.67,50078,Jennifer E. Smith,"47,244",12+,416,Oct,2013,Headline Publishing Group,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Children's General Story Books', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",A Torch Against the Night,4.25,141898,Sabaa Tahir,"51,013",12-17,464,Aug,2016,Penguin Putnam Inc,,English

"['Historical Fiction', 'Children's General Story Books', 'Family', 'Historical']",The Downstairs Girl : the must-read Reese Witherspoon Book Club Pick,3.99,28295,Stacey Lee,"25,871",12-15,384,Aug,2019,"Little, Brown Book Group",United Kingdom,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Animal Stories', 'Family Issues']",Underland Chronicles: ,4.2,44511,Suzanne Collins,"49,526",9-12,320,Jun,2013,Scholastic US,United States,English

"['Fantasy', 'Fantasy Books', 'Adventure Books for Kids', 'Fantasy Books for Kids']",Crooked Kingdom,4.61,508799,Leigh Bardugo,"49,247",12-15,576,Feb,2019,Square Fish,,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Family', 'Death & Bereavement']",Bridge to Terabithia,4.03,514535,Donna Diamond,"7,979",9-12,176,Sep,2011,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Divergent,4.15,3645202,Veronica Roth,"3,765",12-17,496,Oct,2012,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'Death & Bereavement']",If I Stay,3.93,846226,Gayle Forman,"3,728",12-17,288,May,2010,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Thriller Books for Children', 'Mystery Books for Kids', 'Family', 'Family Issues', 'Siblings']",The Final Gambit,4.18,106206,Jennifer Lynn Barnes,481,12-15,400,Sep,2022,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Horror & Ghost', 'Romance Books for Teenagers']",Cemetery Boys,4.31,70681,Aiden Thomas,"4,168",12-15,304,Sep,2020,St Martin's Press,United States,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: History & Criticism', 'Picture & Activity Books', 'Traditional', 'Funny Books for Kids', 'Graphic Novels']",Asterix: Asterix in Britain : Album 8,4.3,10197,Albert Uderzo,"14,501",11+,48,May,2005,"Little, Brown Book Group",United Kingdom,English

"['Children's Fiction', 'Fantasy Books for Kids']",War Storm : Red Queen Book 4,3.85,136794,Victoria Aveyard,"1,148",,688,Feb,2019,Orion Publishing Co,United Kingdom,English

"['Film Theory & Criticism', 'Film Theory & Criticism', 'Animated Films', 'Animated Films', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Television Technology', 'Graphic Novels']",The Art of Howl's Moving Castle,4.53,3298,Hayao Miyazaki,"4,052",12-17,256,Oct,2008,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Family', 'School Stories', 'Graphic Novels', 'Cartoons', 'Society & Social Issues', 'Children's Health Books', 'Family Issues', 'Siblings']",Sisters,4.34,90448,"Telgemeier, Raina","3,888",9-12,208,Sep,2014,SCHOLASTIC INFANTIL,United States,English

"['Horror', 'Horror', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Sci Fi Books for Kids']",The Walking Dead Book 1,4.35,36655,Cliff Rathburn,"3,851",12-15,304,Oct,2010,Image Comics,United States,English

"['Classic Books for Children', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Wrinkle in Time Quintet,4.35,4420,Madeleine L'Engle,"3,864",12-17,244,Oct,2007,St Martin's Press,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Society & Social Issues', 'Family Issues', 'Siblings', 'Relationships']",Aristotle and Dante Discover the Secrets of the Universe : The multi-award-winning international bestseller,4.34,511392,Benjamin Alire Saenz,"2,247",12-15,368,May,2021,Simon & Schuster Ltd,United Kingdom,English

"['Fascism & Nazism', 'Children's Fiction', 'Children's General Story Books', 'Family', 'Historical', 'Family Issues']",Refugee,4.42,55443,Alan Gratz,"46,523",12-15,352,Oct,2017,Scholastic,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Mysteries & The Supernatural (Children's/YA)']",Percy Jackson and the Greek Gods,4.46,73179,Rick Riordan,"64,654",12-17,432,May,2015,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Fantasy Books for Kids', 'Traditional', 'Mysteries & The Supernatural (Children's/YA)']",How the King of Elfhame Learned to Hate Stories (The Folk of the Air series) : The perfect gift for fans of Fantasy Fiction,4.23,128664,Rovina Cai,700,12-15,192,Nov,2020,Hot Key Books,United Kingdom,English

"['Biography: General', 'Biography: Literary', 'Autobiography: Literary', 'Memoirs', 'Gender Studies: Women', 'Geographical Discovery & Exploration', 'Mind, Body & Spirit', 'Mind, Body, Spirit: Thought & Practice', 'Mind, Body, Spirit: Meditation & Visualisation', 'Travel Writing', 'Nonfiction History Books for Kids']","Eat Pray Love : One Woman's Search for Everything Across Italy, India and Indonesia (internation al export edition)",3.61,1662774,Elizabeth Gilbert,"3,925",12-15,464,May,2011,Penguin Putnam Inc,,English

"['Numbers & Counting', 'Musical Story & Educational Books For Kids', 'English Language']",Alphabet Songs,4,8,Lisa Holt,"3,978",12-17,8,Nov,2004,Letterland International,United Kingdom,English

"['Art Books', 'Art History', 'Individual Artists, Art Monographs', 'Art & Design']",The Story of Art,3.95,386652,Eh Gombrich,"3,990",12-17,1064,Apr,2009,Phaidon Press Ltd,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Society & Social Issues']",A Christmas Carol,4.07,765690,Anthony Horowitz,"7,770",9-12,160,Aug,2009,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",The Kiss of Deception,3.96,120551,Mary E. Pearson,"3,948",12-17,512,Jun,2015,Palgrave USA,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Romance Books for Teenagers', 'Society & Social Issues']",Ignite Me,4.46,304804,Tahereh Mafi,"3,175",12-17,416,Oct,2015,HarperCollins,NY,English

"['Graphic Novels: True Stories & Non-fiction', 'Graphic Novels: True Stories & Non-fiction', 'True Stories for Children', 'Schools & Museums', 'Nonfiction History Books for Kids', 'People & Places', 'Cartoons', 'Society & Social Issues', 'Children's Health Books', 'Self-Esteem', 'Relationships']",Guts,4.34,48916,Raina Telgemeier,"57,381",12-15,224,Oct,2019,Scholastic US,United States,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Family', 'People & Places', 'Family Issues']",Heidi,4.01,190454,Eva Ibbotson,"14,366",9-12,336,Mar,2009,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids']",Mortal Coil,4.46,19675,Derek Landy,"67,606",12-17,576,Mar,2011,HarperCollins Publishers,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Carry on,4.19,287912,Rainbow Rowell,"3,797",12-15,528,Jun,2018,Wednesday Books,,English

"['Classic Books for Children', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Historical', 'Battles']",Goodnight Mister Tom,4.31,46292,Michelle Magorian,"8,055",12-17,384,Jul,2014,Penguin Random House Children's UK,United Kingdom,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Minpins,3.89,5837,Roald Dahl,"3,792",6-12,32,Sep,2009,Penguin Putnam Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Social Issues']",Boy Overboard,3.75,3233,Morris Gleitzman,"16,496",9-12,192,Oct,2015,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Romance Books for Teenagers', 'Family', 'School Stories', 'Witches & Ghosts (Children's/YA)', 'Family Issues', 'Death & Bereavement', 'Multiculturalism']",Legendborn,4.41,82452,Tracy Deonn,512,12-15,512,Sep,2020,Simon & Schuster Ltd,United Kingdom,English

"['ABC', 'First Words', 'Classic Books for Children', 'Children's General Story Books', 'Funny Books for Kids']",Frindle,3.84,114736,Brian Selznick,"15,206",9-12,112,Feb,1998,Simon & Schuster,United States,English

"['True Crime Biographies', 'True Crime Books', 'Children's Fiction', 'Citizenship & Social Education', 'Relationships', 'Social Issues']",The 57 Bus : A True Story of Two Teenagers and the Crime That Changed Their Lives,4.15,31088,Dashka Slater,"49,282",12-15,320,May,2018,Hachette Children's Group,United Kingdom,English

"['Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Family', 'Drugs & Addiction']",Ink Exchange,3.69,61318,Melissa Marr,"63,490",12-17,352,Jul,2011,HarperCollins Publishers Inc,United States,English

"['Horror & Ghost', 'Sports Stories']","Rugby Spirit : A new school, a new sport, an old mystery...",4.41,70,Gerard Siggins,"46,779",9-12,192,Sep,2012,O'Brien Press Ltd,Ireland,English

"['Children's Fiction', 'Family', 'Family Issues', 'School']",Midnight,3.72,7092,Nick Sharratt,"49,436",9-12,208,Nov,2008,Penguin Random House Children's UK,United States,English

"['Poetry & Drama', 'Industrial Or Vocational Training', 'Industrial Or Vocational Training', 'Study & Revision Guides']",Functional Skills English Level 2 - Study & Test Practice,4.52,25,CGP Books,"31,947",12-17,148,Aug,2019,Coordination Group Publications Ltd (CGP),United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Funny Books for Kids', 'Relationships']",Highly Illogical Behaviour,3.92,16023,John Corey Whaley,"49,258",14+,256,Jul,2016,Faber & Faber,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Transportation Books for Children']",Let's be Firefighters! (Blaze and the Monster Machines),3.67,27,Niki Foley,"48,574",12-17,24,Aug,2016,Penguin Putnam Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Relationships']",Under Wildwood,3.97,7607,Carson Ellis,"48,056",9-12,592,Sep,2013,Balzer & Bray/Harperteen,,English

"['Usage & Grammar Guides', 'Language Teaching & Learning Material & Coursework', 'Grammar & Vocabulary', 'Reference Works', 'Children's Foreign Language Books', 'Study & Revision Guides']",Easy Learning Spanish Grammar and Practice : Trusted Support for Learning,4.36,11,Collins Dictionaries,"66,726",12-17,320,Oct,2016,HarperCollins Publishers,United Kingdom,"English, Spanish"

"['Musical Scores, Lyrics & Libretti', 'Musical Scores, Lyrics & Libretti', 'Wind Instruments', 'Wind Instruments', 'Techniques Of Music / Music Tutorials', 'Techniques Of Music / Music Tutorials', 'Children's Music Books', 'Musical Story & Educational Books For Kids']",Abracadabra Saxophone (Pupil's book + 2 CDs) : The Way to Learn Through Songs and Tunes,4.33,21,Collins Music,"48,936",12-17,72,Nov,2008,HarperCollins Publishers,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids']",The King of Attolia,4.38,37654,Megan Whalen Turner,"17,442",12-17,432,Jun,2017,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Funny Books for Kids', 'Society & Social Issues']",Space Case,4.27,11812,Stuart Gibbs,"63,517",9-12,368,Oct,2015,Simon & Schuster Books for Young Readers,,English

"['Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",House of Night Set,4.39,24692,P. C. Cast,"48,328",12-17,1264,Oct,2009,St Martin's Press,United States,English

"['People & Places', 'PSHE', 'Sciences', 'Children's Health Books']",The Omnivore's Dilemma : Young Readers Edition,4.05,3108,Michael Pollan,"48,721",9-12,400,Aug,2015,Penguin Putnam Inc,United States,English

"['Teaching Of A Specific Subject', 'Teaching Of A Specific Subject', 'Business Studies: General', 'Education', 'Business Studies']",Cambridge International AS and A Level Business Coursebook with CD-ROM,3.74,43,Alistair Farquharson,"47,363",12-17,608,Nov,2014,Cambridge University Press,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Children's General Story Books', 'Fantasy Books for Kids']",A Dark and Hollow Star,3.82,5797,Ashley Shuttleworth,"12,816",12-15,512,Feb,2021,Hodder & Stoughton,United Kingdom,English

"['Classic Books for Children', 'Children's General Story Books', 'Horror & Ghost', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Family Issues', 'Relationships']",The Deathless Girls,3.49,6150,Kiran Millwood Hargrave,"40,184",12-15,400,Sep,2019,Hachette Children's Group,United Kingdom,English

"['Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Family', 'Family Issues']",Ice Like Fire,3.74,22566,Sara Raasch,"48,961",12-17,496,Nov,2015,HarperCollins Publishers Inc,United States,English

"['Miscellaneous Items', 'Non-Fiction', 'English Language: Reading & Writing Skills', 'Children's Stationery']",642 Things to Write About: Young Writer's Edition,4.21,92,826 Valencia,"48,594",12-17,304,Mar,2014,CHRONICLE BOOKS,United States,English

"['Graphic Novel & Manga Artwork', 'Children's General Story Books', 'Family', 'Funny Books for Kids', 'Graphic Novels', 'Cartoons']",Diary of a Wimpy Kid: The Deep End (Book 15),4.35,18268,Jeff Kinney,"47,865",12-15,224,Oct,2020,Penguin Random House Children's UK,United Kingdom,English

"['Thriller Books for Children', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Romance Books for Teenagers']",A Thousand Pieces of You,3.9,55777,Claudia Gray,"49,168",12-17,368,Nov,2014,Harper Teen,,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family']",The Hero and the Crown,4.21,52085,Robin Mckinley,"48,485",12-17,272,Nov,2000,Penguin USA,United States,English

"['Usage & Grammar Guides', 'Language Teaching & Learning Material & Coursework', 'Grammar & Vocabulary', 'Reference Works', 'Guidebooks', 'Children's Foreign Language Books', 'Study & Revision Guides']",Easy Learning German Grammar and Practice : Trusted Support for Learning,4.4,5,Collins Dictionaries,"68,087",12-17,320,Sep,2016,HarperCollins Publishers,United Kingdom,"English, German"

"['Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Horror & Ghost']",Five Nights at Freddy's 3-book boxed set,4.74,460,Kira Breed-Wrisley,"48,743",12-15,1056,Sep,2018,Scholastic US,United States,English

['Mathematics & Numeracy'],Murderous Maths: The Essential Arithmetricks,4.05,247,Daniel Postgate,"46,293",12-17,176,Aug,2008,Scholastic,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Animal Stories', 'Transportation Books for Children', 'English Language: Reading Schemes', 'Children's Foreign Language Books']",Thomas Goes Fishing (Thomas & Friends),3.79,375,Richard Courtney,"48,219",12-17,32,May,2005,Random House USA Inc,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Emperor of Nihon-Ja : Book Ten,4.42,49855,John Flanagan,"61,496",9-12,464,Mar,2012,Penguin Putnam Inc,United States,English

"['Language: Reference & General', 'English Language']",Oxford Reading Tree Songbirds Phonics: Level 1+: Mixed Pack of 6,5,1,Clare Kirtley,"51,522",12-17,8,Jul,2012,Oxford University Press,United Kingdom,English

"['Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Sports Stories']",Emily Windsnap and the Castle in the Mist,4.04,9657,Natacha Ledwidge,"48,146",9-12,208,Apr,2012,"Candlewick Press,U.S.",United States,English

"['Biography: Literary', 'Language Readers', 'Plays, Playscripts', 'Literature: History & Criticism', 'Literary Studies: General', 'Children's Reference Books']",La gloire de mon pere,4,8671,Marcel Pagnol,"48,688",12-15,227,Sep,2004,De Fallois,France,French

"['Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Funny Books for Kids']","Wandering Witch: The Journey of Elaina, Vol. 1 (light novel)",3.81,382,Azuru,"22,731",12-15,224,Jan,2020,"Little, Brown & Company",United States,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Self-Esteem', 'Relationships']",Here the Whole Time,4.26,12318,Vitor Martins,"44,225",12-15,282,Jan,2021,Hachette Children's Group,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Fantasy Books for Kids']","Wolf & Parchment: New Theory Spice & Wolf, Vol. 1 (light novel)",4.23,188,Isuna Hasekura,"48,421",12-15,224,Nov,2017,"Little, Brown & Company",United States,English

"['Adventure Books for Kids', 'Family', 'Funny Books for Kids', 'Family Issues', 'Siblings']",A Series Of Unfortunate Events ,4.07,2610,Lemony Snicket,"66,773",12-15,832,Feb,2019,HarperCollins Publishers Inc,United States,English

"['Time & Seasons', 'Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Tom's Midnight Garden,4.05,25586,Susan Einzig,"17,110",12-15,320,Aug,2018,HarperCollins Publishers Inc,United States,English

"['Literary Studies: General', 'Study & Learning Skills: General', 'Study & Learning Skills: General', 'Economic Theory & Philosophy', 'Economic Theory & Philosophy', 'Macroeconomics', 'Macroeconomics', 'Microeconomics', 'Microeconomics', 'Business Studies']",Economics for the IB Diploma,1,1,Tanusankar Chakraborty,"49,236",12-15,672,Dec,2020,HODDER EDUCATION,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Romance Books for Teenagers', 'Animal Stories', 'Natural History Books for Children', 'Science', 'The Environment']",Imagine Me,3.98,93380,Tahereh Mafi,"61,835",12-15,464,Mar,2020,HARPERCOLLINS,,English

"['Language: Reference & General', 'English Language: Reading Schemes', 'English Language: Reading & Writing Skills']",Oxford Reading Tree: Level 9: Stories: Storm Castle,3.56,54,Alex Brychta,"50,948",12-17,32,Jan,2011,Oxford University Press,United Kingdom,English

"['Children's General Story Books', 'Mystery Books for Kids', 'Family', 'English Language: Reading Schemes']",Sleepover Sleuths,4.04,2582,Macky Pamintuan,"48,640",9-12,96,Jun,2006,Simon & Schuster,United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Graphic Novels']",5 Worlds Book 1: The Sand Warrior,4.11,5508,Boya Sun,"49,278",12-15,256,May,2017,Random House USA Inc,United States,English

"['Picture Books', 'Classic Books for Children', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Minpins,3.89,5823,Patrick Benson,"48,489",6-12,52,Nov,2013,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Fantasy Books for Kids', 'Traditional', 'Romance Books for Teenagers']",Doon,3.9,7294,Lorie Langdon,"48,955",12-17,416,Aug,2014,HarperCollins Focus,United States,English

"['Adventure Books', 'Fantasy', 'Fantasy Books', 'Fantasy Books for Kids']",Promise of the Witch-King : The Legend of Drizzt,4.18,9687,R.A. Salvatore,"48,190",12-15,384,Sep,2006,WIZARDS OF THE COAST,,English

"['Nonfiction History Books for Kids', 'Battles', 'People & Places', 'Citizenship & Social Education']",Who Was Winston Churchill?,4.26,450,Jerry Hoare,"48,713",9-12,112,Apr,2015,Grosset and Dunlap,United States,English

"['Anthologies', 'Short Stories for Kids']",Thirteen Unpredictable Tales,3.85,143,Paul Jennings,"49,296",9-12,240,Jun,2011,Penguin Random House Children's UK,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's General Story Books', 'Animal Stories', 'Graphic Novels']",Unicorn Crossing : Another Phoebe and Her Unicorn Adventure,4.34,1704,Dana Simpson,"45,976",12-15,176,Apr,2017,Andrews McMeel Publishing,United States,English

"['Poetry By Individual Poets', 'Poetry Books for Kids', 'Animal Stories']",Old Possum's Book of Practical Cats : with illustrations by Rebecca Ashdown,4.07,26309,Rebecca Ashdown,"56,803",12-17,128,Feb,2014,Faber & Faber,United Kingdom,English

"['Contemporary Fiction', 'Classic Books for Children', 'Short Stories for Kids', 'Fiction Texts']",Six Shakespeare Stories,3.5,18,Leon Garfield,"44,720",12-17,144,Oct,2012,Pearson Education Limited,United Kingdom,English

"['Adventure Books', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids']",The Final Warning,3.85,69031,James Patterson,"49,152",12-17,320,Feb,2009,Time Warner Trade Publishing,United States,English

"['Classic Books for Children', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Charlie and the Chocolate Factory,4.15,786652,Quentin Blake,"65,041",6-12,192,Sep,2016,Penguin Random House Children's UK,United Kingdom,English

['Mathematics & Numeracy'],Maths on Target Year 3 Answers,,,Stephen Pearce,"48,397",12-17,24,Jun,2008,Elmwood Education Limited,United Kingdom,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Adventure Books for Kids', 'Graphic Novels']",Lucky Luke 18 - The Escort,3.84,347,Morris & Goscinny,"35,803",12-17,46,Dec,2009,Cinebook Ltd,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Sunbearer Trials,4.45,5595,Aiden Thomas,"4,183",12-15,416,Sep,2022,Pan Macmillan,United Kingdom,English

"['Characters', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Transportation Books for Children']",Cars (Disney/Pixar Cars),3.83,201,Jean-Paul Orpinas,"55,853",12-17,24,Apr,2006,Random House USA Inc,United States,English

"['Usage & Grammar Guides', 'Language Teaching & Learning Material & Coursework', 'Grammar & Vocabulary', 'Reference Works', 'Guidebooks', 'Children's Foreign Language Books', 'Study & Revision Guides']",Easy Learning German Grammar and Practice : Trusted Support for Learning,4.4,5,Collins Dictionaries,"68,087",12-17,320,Sep,2016,HarperCollins Publishers,United Kingdom,"English, German"

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Romance Books for Teenagers', 'Family', 'Relationships']",How I Live Now,3.58,43898,Meg Rosoff,"47,011",12-17,224,Jan,2016,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Family']",These Hollow Vows,4.06,52442,Lexi Ryan,"48,604",12-15,448,Jul,2021,Houghton Mifflin Harcourt Publishing Company,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Animal Stories']",Eragon : Book I,3.93,1655337,Christopher Paolini,"49,197",12-17,528,Aug,2003,"Golden Books Publishing Company, Inc.",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Mystery Books for Kids', 'English Language: Reading Schemes']",Cam Jansen: the Mystery of the Stolen Diamonds ,3.92,5242,Susanna Natti,"16,832",9-12,64,Aug,2004,Penguin Random House Australia,Australia,English

['Graphic Novels'],Lucky Luke: Phil Wire v. 40,3.69,337,'Morris',"50,726",12-17,48,Apr,2013,Cinebook Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'English Language: Reading Schemes']",Haunted Castle on Hallows Eve,4.06,7841,Sal Murdocca,"49,903",12-17,144,Jul,2010,Random House USA Inc,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids', 'Mysteries & The Supernatural (Children's/YA)']",Frostheart 3 : Rise of The World Eater,4.57,601,Jamie Littler,"62,543",12-15,512,Sep,2021,Penguin Random House Children's UK,United Kingdom,English

"['Dictionaries & Dictionary Books', 'Dictionaries for Kids']",ACE Spelling Dictionary,3.62,29,David Moseley,"27,407",12-17,328,Mar,2012,LDA,United Kingdom,English

"['Sci Fi Books for Kids', 'Romance Books for Teenagers', 'Animal Stories']",See You Yesterday,3.99,12151,Rachel Lynn Solomon,"34,534",12-15,432,Jul,2022,Simon & Schuster,United States,English

"['Classic Books & Novels', 'Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Family']",Rilla of Ingleside : A Virago Modern Classic,4.22,46728,L. M. Montgomery,"60,638",9-12,352,Oct,2014,"Little, Brown Book Group",United Kingdom,English

"['Activity Books', 'Mathematics & Numeracy', 'Times Tables', 'General Study Books']","Maths Made Easy: Times Tables, Ages 7-11 (Key Stage 2) : Supports the National Curriculum, Maths Exercise Book",3.89,9,Carol Vorderman,"48,401",11+,40,Jul,2014,Dorling Kindersley Ltd,United Kingdom,English

"['Children's Books', 'Picture Books', 'People & Places', 'Citizenship & Social Education', 'Multiculturalism', 'Social Issues']",Rosa Parks : My Story,4.17,2254,Jim Haskins,"65,140",9-12,208,Jul,2011,Penguin Random House Australia,Australia,English

